"Both sexes","15 - 24 years","Mexico",160,220
"Both sexes","15 - 24 years","Peru",31,25
"Both sexes","15 - 24 years","Trinidad and Tobago",37,66
"Both sexes","15 - 24 years","Venezuela",81,203
"Both sexes","15 - 24 years","Other America",193,247
"Both sexes","15 - 24 years","Australia",1265,1012
"Both sexes","15 - 24 years","New Zealand",176,172
"Both sexes","25 - 44 years","Ireland - county of usual residence",736424,707020
"Both sexes","25 - 44 years","Ireland - county other than county of usual residence",311594,298769
"Both sexes","25 - 44 years","Northern Ireland",19972,16610
"Both sexes","25 - 44 years","England and Wales",74531,54266
"Both sexes","25 - 44 years","Scotland",6667,4518
"Both sexes","25 - 44 years","Austria",343,382
"Both sexes","25 - 44 years","Belgium",621,689
"Both sexes","25 - 44 years","Bulgaria",1136,1724
"Both sexes","25 - 44 years","Croatia",619,3399
"Both sexes","25 - 44 years","Cyprus",94,91
"Both sexes","25 - 44 years","Czech Republic",3711,3216
"Both sexes","25 - 44 years","Denmark",442,419
"Both sexes","25 - 44 years","Estonia",1563,1359
"Both sexes","25 - 44 years","Finland",553,542
"Both sexes","25 - 44 years","France",6009,6529
"Both sexes","25 - 44 years","Germany",6070,5552
"Both sexes","25 - 44 years","Greece",353,643
"Both sexes","25 - 44 years","Hungary",5338,5823
"Both sexes","25 - 44 years","Italy",4849,7070
"Both sexes","25 - 44 years","Latvia",11130,10957
"Both sexes","25 - 44 years","Lithuania",20381,19854
"Both sexes","25 - 44 years","Luxembourg",35,48
"Both sexes","25 - 44 years","Malta",122,101
"Both sexes","25 - 44 years","Netherlands",1667,1686
"Both sexes","25 - 44 years","Poland",79125,78411
"Both sexes","25 - 44 years","Portugal",1416,2421
"Both sexes","25 - 44 years","Romania",11191,18238
"Both sexes","25 - 44 years","Slovakia",7450,6582
"Both sexes","25 - 44 years","Slovenia",123,194
"Both sexes","25 - 44 years","Spain",4794,7409
"Both sexes","25 - 44 years","Sweden",943,889
"Both sexes","25 - 44 years","Albania",514,633
"Both sexes","25 - 44 years","Belarus",819,810
"Both sexes","25 - 44 years","Bosnia and Herzegovina",537,754
"Both sexes","25 - 44 years","Kosovo",430,431
"Both sexes","25 - 44 years","Moldova, Republic of",2221,4121
"Both sexes","25 - 44 years","Norway",249,238
"Both sexes","25 - 44 years","Russian Federation",2608,2700
"Both sexes","25 - 44 years","Serbia",286,405
"Both sexes","25 - 44 years","Switzerland",431,449
"Both sexes","25 - 44 years","Turkey",947,1116
"Both sexes","25 - 44 years","Ukraine",2664,2689
"Both sexes","25 - 44 years","Other Europe",243,252
"Both sexes","25 - 44 years","Algeria",951,791
"Both sexes","25 - 44 years","Angola",606,452
"Both sexes","25 - 44 years","Botswana",173,176
"Both sexes","25 - 44 years","Cameroon",669,584
"Both sexes","25 - 44 years","Congo",1472,1217
"Both sexes","25 - 44 years","Egypt",741,948
"Both sexes","25 - 44 years","Ethiopia",218,251
"Both sexes","25 - 44 years","Ghana",811,566
"Both sexes","25 - 44 years","Cote d'Ivoire",218,170
"Both sexes","25 - 44 years","Kenya",511,496
"Both sexes","25 - 44 years","Liberia",176,136
"Both sexes","25 - 44 years","Libya",366,381
"Both sexes","25 - 44 years","Malawi",185,528
"Both sexes","25 - 44 years","Mauritius",1908,1472
"Both sexes","25 - 44 years","Morocco",512,549
"Both sexes","25 - 44 years","Nigeria",11295,7464
"Both sexes","25 - 44 years","Sierra Leone",294,189
"Both sexes","25 - 44 years","Somalia",700,729
"Both sexes","25 - 44 years","South Africa",3974,3617
"Both sexes","25 - 44 years","Sudan",1012,929
"Both sexes","25 - 44 years","Tanzania, United Republic of",112,104
"Both sexes","25 - 44 years","Togo",211,154
"Both sexes","25 - 44 years","Tunisia",198,232
"Both sexes","25 - 44 years","Uganda",213,206
"Both sexes","25 - 44 years","Zambia",405,306
"Both sexes","25 - 44 years","Zimbabwe",1412,1331
"Both sexes","25 - 44 years","Other Africa",1066,1044
"Both sexes","25 - 44 years","Afghanistan",323,765
"Both sexes","25 - 44 years","Bahrain",57,76
"Both sexes","25 - 44 years","Bangladesh",2109,2265
"Both sexes","25 - 44 years","Myanmar",135,119
"Both sexes","25 - 44 years","China",7763,7504
"Both sexes","25 - 44 years","United Arab Emirates",123,184
"Both sexes","25 - 44 years","Georgia",393,369
"Both sexes","25 - 44 years","Hong Kong",565,455
"Both sexes","25 - 44 years","India",11918,13503
"Both sexes","25 - 44 years","Indonesia",175,181
"Both sexes","25 - 44 years","Iran, Islamic Republic of",565,572
"Both sexes","25 - 44 years","Iraq",727,784
"Both sexes","25 - 44 years","Israel",216,357
"Both sexes","25 - 44 years","Japan",519,596
"Both sexes","25 - 44 years","Jordan",156,141
"Both sexes","25 - 44 years","Kazakhstan",220,249
"Both sexes","25 - 44 years","Kuwait",195,217
"Both sexes","25 - 44 years","Lao People's Democratic Republic",18,65
"Both sexes","25 - 44 years","Lebanon",170,197
"Both sexes","25 - 44 years","Malaysia",2094,1566
"Both sexes","25 - 44 years","Mongolia",488,254
"Both sexes","25 - 44 years","Nepal",298,411
"Both sexes","25 - 44 years","Oman",32,82
"Both sexes","25 - 44 years","Pakistan",5003,7866
"Both sexes","25 - 44 years","Philippines",7790,6071
"Both sexes","25 - 44 years","Saudi Arabia",505,1132
"Both sexes","25 - 44 years","Singapore",153,129
"Both sexes","25 - 44 years","Korea, Republic of",320,637
"Both sexes","25 - 44 years","Sri Lanka",371,387
"Both sexes","25 - 44 years","Syrian Arab Republic",180,380
"Both sexes","25 - 44 years","Taiwan, Province of China",85,222
"Both sexes","25 - 44 years","Thailand",1057,1107
"Both sexes","25 - 44 years","Uzbekistan",131,130
"Both sexes","25 - 44 years","Vietnam",570,614
"Both sexes","25 - 44 years","Other Asia",720,524
"Both sexes","25 - 44 years","United States",7518,7229
"Both sexes","25 - 44 years","Argentina",539,861
"Both sexes","25 - 44 years","Brazil",5781,11018
"Both sexes","25 - 44 years","Canada",2311,2279
"Both sexes","25 - 44 years","Chile",171,215
"Both sexes","25 - 44 years","Colombia",205,336
"Both sexes","25 - 44 years","Cuba",110,107
"Both sexes","25 - 44 years","Guatemala",31,45
"Both sexes","25 - 44 years","Jamaica",119,100
"Both sexes","25 - 44 years","Mexico",449,871
"Both sexes","25 - 44 years","Peru",207,250
"Both sexes","25 - 44 years","Trinidad and Tobago",84,93
"Both sexes","25 - 44 years","Venezuela",324,1390
"Both sexes","25 - 44 years","Other America",600,806
"Both sexes","25 - 44 years","Australia",2544,2445
"Both sexes","25 - 44 years","New Zealand",1105,879
"Both sexes","45 - 64 years","Ireland - county of usual residence",632325,654517
"Both sexes","45 - 64 years","Ireland - county other than county of usual residence",244514,257384
"Both sexes","45 - 64 years","Northern Ireland",17235,18421
"Both sexes","45 - 64 years","England and Wales",68116,87414
"Both sexes","45 - 64 years","Scotland",6230,7259
"Both sexes","45 - 64 years","Austria",126,163
